Property	Value	.05 (14.067)	.01 (18.475)	.001 (24.322)
Free energy in beta-strand region (MUNV940105)	346.167	*	*	*
Free energies of transfer of AcWl-X-LL peptides from bilayer interface to water (WIMW960101)	247.89	*	*	*
Thermodynamic beta sheet propensity (KIMC930101)	404.593	*	*	*
Turn propensity scale for transmembrane helices (MONM990101)	444.543	*	*	*
Alpha helix propensity of position 44 in T4 lysozyme (BLAM930101)	194.811	*	*	*
p-Values of mesophilic proteins based on the distributions of B values (PARS000101)	326.376	*	*	*
p-Values of thermophilic proteins based on the distributions of B values (PARS000102)	385.82	*	*	*
Distribution of amino acid residues in the 18 non-redundant families of thermophilic proteins (KUMS000101)	224.964	*	*	*
Distribution of amino acid residues in the 18 non-redundant families of mesophilic proteins (KUMS000102)	340.437	*	*	*
Distribution of amino acid residues in the alpha-helices in thermophilic proteins (KUMS000103)	270.458	*	*	*
Distribution of amino acid residues in the alpha-helices in mesophilic proteins (KUMS000104)	171.162	*	*	*
Side-chain contribution to protein stability (kJ/mol) (TAKK010101)	402.602	*	*	*
Propensity of amino acids within pi-helices (FODM020101)	108.235	*	*	*
Hydropathy scale based on self-information values in the two-state model (5% accessibility) (NADH010101)	324.976	*	*	*
Hydropathy scale based on self-information values in the two-state model (9% accessibility) (NADH010102)	273.297	*	*	*
Hydropathy scale based on self-information values in the two-state model (16% accessibility) (NADH010103)	384.1	*	*	*
Hydropathy scale based on self-information values in the two-state model (20% accessibility) (NADH010104)	373.05	*	*	*
Hydropathy scale based on self-information values in the two-state model (25% accessibility) (NADH010105)	314.379	*	*	*
Hydropathy scale based on self-information values in the two-state model (36% accessibility) (NADH010106)	115.838	*	*	*
Hydropathy scale based on self-information values in the two-state model (50% accessibility) (NADH010107)	180.306	*	*	*
Averaged turn propensities in a transmembrane helix (MONM990201)	32.306	*	*	*
Alpha-helix propensity derived from designed sequences (KOEP990101)	486.936	*	*	*
Beta-sheet propensity derived from designed sequences (KOEP990102)	389.969	*	*	*
Composition of amino acids in extracellular proteins (percent) (CEDJ970101)	261.455	*	*	*
Composition of amino acids in anchored proteins (percent) (CEDJ970102)	163.16	*	*	*
Composition of amino acids in membrane proteins (percent) (CEDJ970103)	105.72	*	*	*
Composition of amino acids in intracellular proteins (percent) (CEDJ970104)	168.571	*	*	*
Composition of amino acids in nuclear proteins (percent) (CEDJ970105)	239.872	*	*	*
Surface composition of amino acids in intracellular proteins of thermophiles (percent) (FUKS010101)	156.997	*	*	*
Surface composition of amino acids in intracellular proteins of mesophiles (percent) (FUKS010102)	173.504	*	*	*
Surface composition of amino acids in extracellular proteins of mesophiles (percent) (FUKS010103)	425.923	*	*	*
Surface composition of amino acids in nuclear proteins (percent) (FUKS010104)	370.565	*	*	*
Interior composition of amino acids in intracellular proteins of thermophiles (percent) (FUKS010105)	184.89	*	*	*
Interior composition of amino acids in intracellular proteins of mesophiles (percent) (FUKS010106)	372.202	*	*	*
Interior composition of amino acids in extracellular proteins of mesophiles (percent) (FUKS010107)	322.905	*	*	*
Interior composition of amino acids in nuclear proteins (percent) (FUKS010108)	68.497	*	*	*
Entire chain composition of amino acids in intracellular proteins of thermophiles (percent) (FUKS010109)	290.716	*	*	*
Entire chain composition of amino acids in intracellular proteins of mesophiles (percent) (FUKS010110)	216.345	*	*	*
Entire chain composition of amino acids in extracellular proteins of mesophiles (percent) (FUKS010111)	377.152	*	*	*
Entire chain compositino of amino acids in nuclear proteins (percent) (FUKS010112)	251.996	*	*	*
Amphiphilicity index (MITS020101)	232.215	*	*	*
Volumes including the crystallographic waters using the ProtOr (TSAJ990101)	540.132	*	*	*
Volumes not including the crystallographic waters using the ProtOr (TSAJ990102)	540.132	*	*	*
Electron-ion interaction potential values (COSI940101)	322.146	*	*	*
Hydrophobicity scales (PONP930101)	341.957	*	*	*
Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/MeCN/H2O (WILM950101)	328.519	*	*	*
Hydrophobicity coefficient in RP-HPLC, C8 with 0.1%TFA/MeCN/H2O (WILM950102)	270.214	*	*	*
Hydrophobicity coefficient in RP-HPLC, C4 with 0.1%TFA/MeCN/H2O (WILM950103)	410.474	*	*	*
Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/2-PrOH/MeCN/H2O (WILM950104)	181.305	*	*	*
Hydrophilicity scale (KUHL950101)	272.053	*	*	*
Retention coefficient at pH 2 (GUOD860101)	279.679	*	*	*
Modified Kyte-Doolittle hydrophobicity scale (JURD980101)	189.991	*	*	*
Interactivity scale obtained from the contact matrix (BASU050101)	249.356	*	*	*
Interactivity scale obtained by maximizing the mean of correlation coefficient over single-domain globular proteins (BASU050102)	358.836	*	*	*
Interactivity scale obtained by maximizing the mean of correlation coefficient over pairs of sequences sharing the TIM barrel fold (BASU050103)	272.241	*	*	*
Linker propensity index (SUYM030101)	357.898	*	*	*
Knowledge-based membrane-propensity scale from 1D_Helix in MPtopo databases (PUNT030101)	295.52	*	*	*
Knowledge-based membrane-propensity scale from 3D_Helix in MPtopo databases (PUNT030102)	456.032	*	*	*
Linker propensity from all dataset (GEOR030101)	201.909	*	*	*
Linker propensity from 1-linker dataset (GEOR030102)	286.682	*	*	*
Linker propensity from 2-linker dataset (GEOR030103)	420.376	*	*	*
Linker propensity from 3-linker dataset (GEOR030104)	310.5	*	*	*
Linker propensity from small dataset (linker length is less than six residues) (GEOR030105)	81.837	*	*	*
Linker propensity from medium dataset (linker length is between six and 14 residues) (GEOR030106)	114.524	*	*	*
Linker propensity from long dataset (linker length is greater than 14 residues) (GEOR030107)	257.044	*	*	*
Linker propensity from helical (annotated by DSSP) dataset (GEOR030108)	184.263	*	*	*
Linker propensity from non-helical (annotated by DSSP) dataset (GEOR030109)	105.408	*	*	*
The stability scale from the knowledge-based atom-atom potential (ZHOH040101)	309.164	*	*	*
The relative stability scale extracted from mutation experiments (ZHOH040102)	391.551	*	*	*
Buriability (ZHOH040103)	236.162	*	*	*
Linker index (BAEK050101)	244.038	*	*	*
Mean volumes of residues buried in protein interiors (HARY940101)	546.709	*	*	*
Average volumes of residues (PONJ960101)	523.384	*	*	*
Hydrostatic pressure asymmetry index, PAI (DIGM050101)	215.466	*	*	*
Hydrophobicity index (WOLR790101)	478.173	*	*	*
Average internal preferences (OLSK800101)	283.182	*	*	*
Hydrophobicity-related index (KIDA850101)	194.66	*	*	*
Apparent partition energies calculated from Wertz-Scheraga index (GUYH850102)	401.603	*	*	*
Apparent partition energies calculated from Janin index (GUYH850104)	416.009	*	*	*
Apparent partition energies calculated from Chothia index (GUYH850105)	314.479	*	*	*
Weights from the IFH scale (JACR890101)	182.1	*	*	*
Hydrophobicity index, 3.0 pH (COWR900101)	278.743	*	*	*
Scaled side chain hydrophobicity values (BLAS910101)	405.934	*	*	*
Hydrophobicity scale from native protein structures (CASG920101)	340.777	*	*	*
NNEIG index (CORJ870101)	227.18	*	*	*
SWEIG index (CORJ870102)	212.916	*	*	*
PRIFT index (CORJ870103)	371.308	*	*	*
PRILS index (CORJ870104)	393.948	*	*	*
ALTFT index (CORJ870105)	393.178	*	*	*
ALTLS index (CORJ870106)	278.386	*	*	*
TOTFT index (CORJ870107)	368.445	*	*	*
TOTLS index (CORJ870108)	350.638	*	*	*
Relative partition energies derived by the Bethe approximation (MIYS990101)	325.041	*	*	*
Optimized relative partition energies - method A (MIYS990102)	317.964	*	*	*
Optimized relative partition energies - method B (MIYS990103)	420.994	*	*	*
Optimized relative partition energies - method C (MIYS990104)	435.301	*	*	*
Optimized relative partition energies - method D (MIYS990105)	376.942	*	*	*
Hydrophobicity index (ENGD860101)	217.378	*	*	*
Hydrophobicity index (FASG890101)	347.838	*	*	*
Buriedness (UNKNOWNREF)	278.219	*	*	*
Compressibility (UNKNOWNREF)	145.995	*	*	*
Helical contact area (UNKNOWNREF)	437.919	*	*	*
Mean r.m.s. fluctuation displacement (UNKNOWNREF)	362.777	*	*	*
Normalized consensus hydrophobicity (UNKNOWNREF)	374.084	*	*	*
Partial specific volume (IQBAL880101)	364.53	*	*	*
Power to be at the C-terminal (UNKNOWNREF)	245.631	*	*	*
Power to be at the middle of alpha-helix (UNKNOWNREF)	147.311	*	*	*
Power to be at the N-terminal (UNKNOWNREF)	128.746	*	*	*
Surrounding hydrophobicity (UNKNOWNREF)	341.957	*	*	*
