Property	Value	.05 (14.067)	.01 (18.475)	.001 (24.322)
Free energy in beta-strand region (MUNV940104)	477.969	*	*	*
Free energy in beta-strand region (MUNV940105)	399.223	*	*	*
Free energies of transfer of AcWl-X-LL peptides from bilayer interface to water (WIMW960101)	186.964	*	*	*
Thermodynamic beta sheet propensity (KIMC930101)	709.15	*	*	*
Turn propensity scale for transmembrane helices (MONM990101)	1150.546	*	*	*
Alpha helix propensity of position 44 in T4 lysozyme (BLAM930101)	274.439	*	*	*
p-Values of mesophilic proteins based on the distributions of B values (PARS000101)	282.074	*	*	*
p-Values of thermophilic proteins based on the distributions of B values (PARS000102)	409.925	*	*	*
Distribution of amino acid residues in the 18 non-redundant families of thermophilic proteins (KUMS000101)	275.056	*	*	*
Distribution of amino acid residues in the 18 non-redundant families of mesophilic proteins (KUMS000102)	436.891	*	*	*
Distribution of amino acid residues in the alpha-helices in thermophilic proteins (KUMS000103)	212.421	*	*	*
Distribution of amino acid residues in the alpha-helices in mesophilic proteins (KUMS000104)	141.832	*	*	*
Side-chain contribution to protein stability (kJ/mol) (TAKK010101)	552.748	*	*	*
Propensity of amino acids within pi-helices (FODM020101)	82.137	*	*	*
Hydropathy scale based on self-information values in the two-state model (5% accessibility) (NADH010101)	316.577	*	*	*
Hydropathy scale based on self-information values in the two-state model (9% accessibility) (NADH010102)	245.634	*	*	*
Hydropathy scale based on self-information values in the two-state model (16% accessibility) (NADH010103)	426.708	*	*	*
Hydropathy scale based on self-information values in the two-state model (20% accessibility) (NADH010104)	343.738	*	*	*
Hydropathy scale based on self-information values in the two-state model (25% accessibility) (NADH010105)	348.076	*	*	*
Hydropathy scale based on self-information values in the two-state model (36% accessibility) (NADH010106)	72.363	*	*	*
Hydropathy scale based on self-information values in the two-state model (50% accessibility) (NADH010107)	145.031	*	*	*
Averaged turn propensities in a transmembrane helix (MONM990201)	18.801	*	*
Alpha-helix propensity derived from designed sequences (KOEP990101)	1176.701	*	*	*
Beta-sheet propensity derived from designed sequences (KOEP990102)	582.924	*	*	*
Composition of amino acids in extracellular proteins (percent) (CEDJ970101)	255.067	*	*	*
Composition of amino acids in anchored proteins (percent) (CEDJ970102)	143.942	*	*	*
Composition of amino acids in membrane proteins (percent) (CEDJ970103)	79.713	*	*	*
Composition of amino acids in intracellular proteins (percent) (CEDJ970104)	145.135	*	*	*
Composition of amino acids in nuclear proteins (percent) (CEDJ970105)	214.367	*	*	*
Surface composition of amino acids in intracellular proteins of thermophiles (percent) (FUKS010101)	143.459	*	*	*
Surface composition of amino acids in intracellular proteins of mesophiles (percent) (FUKS010102)	133.921	*	*	*
Surface composition of amino acids in extracellular proteins of mesophiles (percent) (FUKS010103)	385.42	*	*	*
Surface composition of amino acids in nuclear proteins (percent) (FUKS010104)	309.578	*	*	*
Interior composition of amino acids in intracellular proteins of thermophiles (percent) (FUKS010105)	156.99	*	*	*
Interior composition of amino acids in intracellular proteins of mesophiles (percent) (FUKS010106)	450.138	*	*	*
Interior composition of amino acids in extracellular proteins of mesophiles (percent) (FUKS010107)	446.694	*	*	*
Interior composition of amino acids in nuclear proteins (percent) (FUKS010108)	48.492	*	*	*
Entire chain composition of amino acids in intracellular proteins of thermophiles (percent) (FUKS010109)	336.943	*	*	*
Entire chain composition of amino acids in intracellular proteins of mesophiles (percent) (FUKS010110)	244.007	*	*	*
Entire chain composition of amino acids in extracellular proteins of mesophiles (percent) (FUKS010111)	369.596	*	*	*
Entire chain compositino of amino acids in nuclear proteins (percent) (FUKS010112)	162.033	*	*	*
Amphiphilicity index (MITS020101)	162.339	*	*	*
Volumes including the crystallographic waters using the ProtOr (TSAJ990101)	542.925	*	*	*
Volumes not including the crystallographic waters using the ProtOr (TSAJ990102)	542.925	*	*	*
Electron-ion interaction potential values (COSI940101)	394.039	*	*	*
Hydrophobicity scales (PONP930101)	372.121	*	*	*
Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/MeCN/H2O (WILM950101)	259.352	*	*	*
Hydrophobicity coefficient in RP-HPLC, C8 with 0.1%TFA/MeCN/H2O (WILM950102)	278.94	*	*	*
Hydrophobicity coefficient in RP-HPLC, C4 with 0.1%TFA/MeCN/H2O (WILM950103)	486.518	*	*	*
Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/2-PrOH/MeCN/H2O (WILM950104)	181.468	*	*	*
Hydrophilicity scale (KUHL950101)	291.209	*	*	*
Retention coefficient at pH 2 (GUOD860101)	218.767	*	*	*
Modified Kyte-Doolittle hydrophobicity scale (JURD980101)	139.813	*	*	*
Interactivity scale obtained from the contact matrix (BASU050101)	186.613	*	*	*
Interactivity scale obtained by maximizing the mean of correlation coefficient over single-domain globular proteins (BASU050102)	330.883	*	*	*
Interactivity scale obtained by maximizing the mean of correlation coefficient over pairs of sequences sharing the TIM barrel fold (BASU050103)	223.152	*	*	*
Linker propensity index (SUYM030101)	593.916	*	*	*
Knowledge-based membrane-propensity scale from 1D_Helix in MPtopo databases (PUNT030101)	264.986	*	*	*
Knowledge-based membrane-propensity scale from 3D_Helix in MPtopo databases (PUNT030102)	598.133	*	*	*
Linker propensity from all dataset (GEOR030101)	186.417	*	*	*
Linker propensity from 1-linker dataset (GEOR030102)	331.11	*	*	*
Linker propensity from 2-linker dataset (GEOR030103)	425.197	*	*	*
Linker propensity from 3-linker dataset (GEOR030104)	282.966	*	*	*
Linker propensity from small dataset (linker length is less than six residues) (GEOR030105)	67.181	*	*	*
Linker propensity from medium dataset (linker length is between six and 14 residues) (GEOR030106)	97.618	*	*	*
Linker propensity from long dataset (linker length is greater than 14 residues) (GEOR030107)	323.268	*	*	*
Linker propensity from helical (annotated by DSSP) dataset (GEOR030108)	153.776	*	*	*
Linker propensity from non-helical (annotated by DSSP) dataset (GEOR030109)	227.302	*	*	*
The stability scale from the knowledge-based atom-atom potential (ZHOH040101)	232.301	*	*	*
The relative stability scale extracted from mutation experiments (ZHOH040102)	379.567	*	*	*
Buriability (ZHOH040103)	171.189	*	*	*
Linker index (BAEK050101)	253.052	*	*	*
Mean volumes of residues buried in protein interiors (HARY940101)	527.493	*	*	*
Average volumes of residues (PONJ960101)	559.092	*	*	*
Hydrostatic pressure asymmetry index, PAI (DIGM050101)	175.79	*	*	*
Hydrophobicity index (WOLR790101)	677.792	*	*	*
Average internal preferences (OLSK800101)	293.398	*	*	*
Hydrophobicity-related index (KIDA850101)	145.769	*	*	*
Apparent partition energies calculated from Wertz-Scheraga index (GUYH850102)	386.017	*	*	*
Apparent partition energies calculated from Janin index (GUYH850104)	439.751	*	*	*
Apparent partition energies calculated from Chothia index (GUYH850105)	295.821	*	*	*
Weights from the IFH scale (JACR890101)	123.067	*	*	*
Hydrophobicity index, 3.0 pH (COWR900101)	235.92	*	*	*
Scaled side chain hydrophobicity values (BLAS910101)	433.697	*	*	*
Hydrophobicity scale from native protein structures (CASG920101)	316.395	*	*	*
NNEIG index (CORJ870101)	151.994	*	*	*
SWEIG index (CORJ870102)	137.866	*	*	*
PRIFT index (CORJ870103)	324.685	*	*	*
PRILS index (CORJ870104)	305.855	*	*	*
ALTFT index (CORJ870105)	434.828	*	*	*
ALTLS index (CORJ870106)	211.212	*	*	*
TOTFT index (CORJ870107)	337.834	*	*	*
TOTLS index (CORJ870108)	354.855	*	*	*
Relative partition energies derived by the Bethe approximation (MIYS990101)	262.651	*	*	*
Optimized relative partition energies - method A (MIYS990102)	248.427	*	*	*
Optimized relative partition energies - method B (MIYS990103)	414.128	*	*	*
Optimized relative partition energies - method C (MIYS990104)	437.088	*	*	*
Optimized relative partition energies - method D (MIYS990105)	310.997	*	*	*
Hydrophobicity index (ENGD860101)	162.924	*	*	*
Hydrophobicity index (FASG890101)	273.217	*	*	*
Buriedness (UNKNOWNREF)	238.706	*	*	*
Compressibility (UNKNOWNREF)	137.752	*	*	*
Helical contact area (UNKNOWNREF)	450.446	*	*	*
Mean r.m.s. fluctuation displacement (UNKNOWNREF)	348.144	*	*	*
Normalized consensus hydrophobicity (UNKNOWNREF)	374.062	*	*	*
Partial specific volume (IQBAL880101)	343.593	*	*	*
Power to be at the C-terminal (UNKNOWNREF)	253.056	*	*	*
Power to be at the middle of alpha-helix (UNKNOWNREF)	154.403	*	*	*
Power to be at the N-terminal (UNKNOWNREF)	92.066	*	*	*
Surrounding hydrophobicity (UNKNOWNREF)	372.121	*	*	*
